"NDVI_Biophysical_Zone","Time_Window","Time_Window_Num","Reverse_Time_Window_Num","Mean_NDVI","CI_Lower","CI_Upper","N","Prev_Mean_NDVI","Percent_Change"
"IDZ","T1",1,5,0.588402082482646,0.584707335072529,0.592096829892763,4898,0.622062117177097,-5.41104075702273
"CTZ","T1",1,5,0.829044551824112,0.828205969729342,0.829883133918882,4139,0.846700025125628,-2.08520996546521
"SDZ","T1",1,5,0.899106078316774,0.898317266669069,0.899894889964479,3422,0.880654278074866,2.09523767740544
