"NDVI_Biophysical_Zone","Num_Events_Tested","Median_Tau","Mean_Tau","Prop_Significant_Decline","Prop_Significant_Increase"
"IDZ",4560,-0.200000002980232,-0.0998909505508971,0.0565789473684211,0.0267543859649123
"CTZ",3976,-0.200000002980232,-0.0860040775637032,0.039738430583501,0.0296780684104628
"SDZ",3270,0.200000002980232,0.112804022909851,0.0103975535168196,0.0259938837920489
