"NDVI_Biophysical_Zone","Time_Window","Time_Window_Num","Reverse_Time_Window_Num","Mean_NDVI","CI_Lower","CI_Upper","N"
"IDZ","T5",5,1,0.617966783600088,0.613030415703802,0.622903151496373,4561
"IDZ","T4",4,2,0.620708963834036,0.615849176829708,0.625568750838364,4507
"IDZ","T3",3,3,0.618404835847382,0.613640660349156,0.623169011345609,4508
"IDZ","T2",2,4,0.622062117177097,0.617405944884639,0.626718289469556,4506
"IDZ","T1",1,5,0.588402082482646,0.584707335072529,0.592096829892763,4898
"CTZ","T5",5,1,0.823065298974231,0.820127582821966,0.826003015126496,3997
"CTZ","T4",4,2,0.835466769388803,0.832931337527455,0.838002201250152,3894
"CTZ","T3",3,3,0.838581633701516,0.836363322193349,0.840799945209682,3893
"CTZ","T2",2,4,0.846700025125628,0.84494772044783,0.848452329803426,3980
"CTZ","T1",1,5,0.829044551824112,0.828205969729342,0.829883133918882,4139
"SDZ","T5",5,1,0.870486624803768,0.868265558619233,0.872707690988302,3185
"SDZ","T4",4,2,0.877805067673906,0.876166167302258,0.879443968045554,3177
"SDZ","T3",3,3,0.878948359659781,0.877515393384745,0.880381325934817,3292
"SDZ","T2",2,4,0.880654278074866,0.879602853060484,0.881705703089249,3366
"SDZ","T1",1,5,0.899106078316774,0.898317266669069,0.899894889964479,3422
