"x","y"
0.175584265734266,0
0.181352797202797,0
0.187121328671329,0
0.19288986013986,0
0.198658391608392,0
0.204426923076923,0
0.210195454545455,0
0.215963986013986,0
0.221732517482517,0
0.227501048951049,0
0.23326958041958,0
0.239038111888112,0
0.244806643356643,0
0.250575174825175,0
0.256343706293706,0
0.262112237762238,0
0.267880769230769,0
0.273649300699301,0
0.279417832167832,0
0.285186363636364,0
0.290954895104895,0
0.296723426573427,0
0.302491958041958,0
0.30826048951049,0
0.314029020979021,0
0.319797552447552,0
0.325566083916084,0
0.331334615384615,0
0.337103146853147,0
0.342871678321678,0
0.34864020979021,0
0.354408741258741,0
0.360177272727273,1
0.365945804195804,1
0.371714335664336,1
0.377482867132867,1
0.383251398601399,0
0.38901993006993,0
0.394788461538462,0
0.400556993006993,0
0.406325524475525,0
0.412094055944056,0
0.417862587412587,0
0.423631118881119,0
0.42939965034965,0
0.435168181818182,0
0.440936713286713,0
0.446705244755245,0
0.452473776223776,1
0.458242307692308,1
0.464010839160839,1
0.469779370629371,1
0.475547902097902,2
0.481316433566434,2
0.487084965034965,2
0.492853496503497,2
0.498622027972028,2
0.50439055944056,2
0.510159090909091,2
0.515927622377622,2
0.521696153846154,1
0.527464685314685,1
0.533233216783217,1
0.539001748251748,1
0.54477027972028,1
0.550538811188811,3
0.556307342657343,3
0.562075874125874,3
0.567844405594406,3
0.573612937062937,3
0.579381468531469,3
0.58515,3
0.590918531468531,3
0.596687062937063,3
0.602455594405594,3
0.608224125874126,1
0.613992657342657,1
0.619761188811189,1
0.62552972027972,1
0.631298251748252,4
0.637066783216783,4
0.642835314685315,4
0.648603846153846,5
0.654372377622378,5
0.660140909090909,5
0.665909440559441,5
0.671677972027972,5
0.677446503496504,5
0.683215034965035,5
0.688983566433566,5
0.694752097902098,5
0.700520629370629,5
0.706289160839161,5
0.712057692307692,7
0.717826223776224,9
0.723594755244755,9
0.729363286713287,9
0.735131818181818,10
0.74090034965035,12
0.746668881118881,16
0.752437412587413,16
0.758205944055944,16
0.763974475524476,16
0.769743006993007,20
0.775511538461539,20
0.78128006993007,20
0.787048601398601,22
0.792817132867133,38
0.798585664335664,38
0.804354195804196,38
0.810122727272727,35
0.815891258741259,35
0.82165979020979,57
0.827428321678322,65
0.833196853146853,69
0.838965384615385,97
0.844733916083916,97
0.850502447552448,98
0.856270979020979,100
0.862039510489511,112
0.867808041958042,112
0.873576573426573,112
0.879345104895105,112
0.885113636363636,112
0.890882167832168,112
0.896650699300699,112
0.902419230769231,110
0.908187762237762,110
0.913956293706294,112
0.919724825174825,116
0.925493356643357,116
0.931261888111888,93
0.93703041958042,52
0.942798951048951,40
0.948567482517483,21
0.954336013986014,11
0.960104545454545,11
0.965873076923077,11
0.971641608391608,17
0.97741013986014,17
0.983178671328671,17
0.988947202797203,10
0.994715734265734,10
