"Subset","n","BP1","BP2"
"QA=0 (strict)",9168,0.769100523773994,0.866165608254831
"QA<=1 (full reliable)",12459,0.769234995682875,0.868141174795924
"Excl. monsoon Asia",9299,0.772350984084134,0.864724527937688
"Asia/Oceania",3811,0.761503029769624,0.876260260165168
"Americas",4368,0.76193569660749,0.868457802803544
