"Sigma","BP1_mean","BP1_sd","BP2_mean","BP2_sd"
0,0.776916048586413,NA,0.86659008434711,NA
0.02,0.759823944843082,0.00189161199712479,0.86772813556731,0.0014585606100393
0.03,0.747061206484441,0.0029383136371299,0.867629817905458,0.00172300608630547
0.05,0.705283424519407,0.00489100309753165,0.868241111008696,0.00270711754105998
