NDVI,Partial_Dependence
0.349622,1.9724965808465482
0.3600300638749006,1.972670375937862
0.3704381277498012,1.972628121619067
0.3808461916247018,1.973100720102285
0.3912542554996024,1.9730634569889351
0.40166231937450303,1.97413277022194
0.41207038324940365,1.9737736327152853
0.42247844712430427,1.9737736327152853
0.4328865109992049,1.973223337317072
0.4432945748741055,1.973922544002564
0.45370263874900607,1.9810872531030626
0.4641107026239067,1.9851390318429605
0.4745187664988073,1.985374245678302
0.48492683037370793,1.9858722876752626
0.49533489424860855,1.9855703178002857
0.5057429581235091,1.9819525241047666
0.5161510219984098,1.9833249483506663
0.5265590858733104,1.9853168208448568
0.5369671497482109,2.0122423692927316
0.5473752136231116,2.0287910064150183
0.5577832774980123,2.028866443469244
0.5681913413729128,2.007987873577892
0.5785994052478134,2.0082412329883907
0.5890074691227141,2.005668466432287
0.5994155329976146,2.0009154954900397
0.6098235968725152,2.000529228756845
0.6202316607474159,2.0042888801547596
0.6306397246223165,1.997941779286321
0.6410477884972171,1.988698706079455
0.6514558523721177,1.9777357565451148
0.6618639162470183,1.9642511110901435
0.6722719801219189,1.9560668117192177
0.6826800439968195,1.9557078147511882
0.6930881078717201,1.9517838094974707
0.7034961717466208,1.9498552173072823
0.7139042356215214,1.9280245254195127
0.724312299496422,1.9136813388824416
0.7347203633713226,1.9132358408181196
0.7451284272462232,1.9053902949502575
0.7555364911211238,1.8993645642170336
0.7659445549960244,1.9055823174257136
0.7763526188709251,1.9075789444583382
0.7867606827458256,1.9104668187238827
0.7971687466207262,1.925296050466425
0.8075768104956269,1.9746937037668335
0.8179848743705275,2.112945113800123
0.828392938245428,2.2672117731890338
0.8388010021203287,2.3188109430946215
0.8492090659952293,2.3144305636784726
0.85961712987013,2.3201618870695597
